,Population 2021,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
LVA,149,,Latvia," 1,883 ",
XKX,150,,Kosovo," 1,806 ",
BHR,151,,Bahrain," 1,748 ",
GNQ,152,,Equatorial Guinea," 1,450 ",
TTO,153,,Trinidad and Tobago," 1,403 ",
TLS,154,,Timor-Leste," 1,344 ",
EST,155,,Estonia," 1,329 ",
MUS,156,,Mauritius," 1,266 ",
CYP,157,,Cyprus," 1,216 ",
SWZ,158,,Eswatini," 1,172 ",
DJI,159,,Djibouti," 1,002 ",
FJI,160,,Fiji, 903 ,
COM,161,,Comoros, 888 ,
GUY,162,,Guyana, 790 ,
BTN,163,,Bhutan, 780 ,
SLB,164,,Solomon Islands, 704 ,
MAC,165,,"Macao SAR, China", 658 ,
LUX,166,,Luxembourg, 639 ,
MNE,167,,Montenegro, 620 ,
SUR,168,,Suriname, 592 ,
CPV,169,,Cabo Verde, 562 ,
MDV,170,,Maldives, 544 ,
MLT,171,,Malta, 517 ,
BRN,172,,Brunei Darussalam, 442 ,
BLZ,173,,Belize, 405 ,
BHS,174,,"Bahamas, The", 397 ,
ISL,175,,Iceland, 372 ,
VUT,176,,Vanuatu, 314 ,
BRB,177,,Barbados, 288 ,
PYF,178,,French Polynesia, 283 ,
NCL,179,,New Caledonia, 273 ,
STP,180,,São Tomé and Principe, 223 ,
WSM,181,,Samoa, 200 ,
LCA,182,,St. Lucia, 184 ,
CHI,183,,Channel Islands, 175 ,
GUM,184,,Guam, 170 ,
CUW,185,,Curaçao, 152 ,
KIR,186,,Kiribati, 121 ,
FSM,187,,"Micronesia, Fed. Sts.", 116 ,
GRD,188,,Grenada, 113 ,
VCT,189,,St. Vincent and the Grenadines, 111 ,
ABW,190,,Aruba, 107 ,
TON,191,,Tonga, 107 ,
VIR,192,,Virgin Islands (U.S.), 106 ,
SYC,193,,Seychelles, 99 ,
ATG,194,,Antigua and Barbuda, 99 ,
IMN,195,,Isle of Man, 85 ,
AND,196,,Andorra, 77 ,
DMA,197,,Dominica, 72 ,
CYM,198,,Cayman Islands, 66 ,
BMU,199,,Bermuda, 64 ,
MHL,200,,Marshall Islands, 60 ,
MNP,201,,Northern Mariana Islands, 58 ,
GRL,202,,Greenland, 57 ,
ASM,203,,American Samoa, 55 ,
KNA,204,,St. Kitts and Nevis, 54 ,
FRO,205,,Faroe Islands, 49 ,
SXM,206,,Sint Maarten (Dutch part), 43 ,
MCO,207,,Monaco, 40 ,
MAF,208,,St. Martin (French part), 39 ,
TCA,209,,Turks and Caicos Islands, 39 ,
LIE,210,,Liechtenstein, 38 ,
SMR,211,,San Marino, 34 ,
GIB,212,,Gibraltar, 34 ,
VGB,213,,British Virgin Islands, 30 ,
PLW,214,,Palau, 18 ,
TUV,215,,Tuvalu, 12 ,
NRU,216,,Nauru, 11 ,
ERI,,,Eritrea, -   ,
,,,,,
,,,,,
WLD,,,World," 7,836,631 ",
,,,,,
EAS,,,East Asia & Pacific," 2,368,623 ",
ECS,,,Europe & Central Asia," 923,754 ",
LCN,,,Latin America & Caribbean," 658,089 ",
MEA,,,Middle East & North Africa," 472,495 ",
NAC,,,North America," 370,204 ",
SAS,,,South Asia," 1,877,902 ",
SSF,,,Sub-Saharan Africa," 1,165,564 ",
LIC,,,Low income," 701,927 ",
LMC,,,Lower middle income," 3,363,197 ",
UMC,,,Upper middle income," 2,501,428 ",
HIC,,,High income," 1,241,374 ",
,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.  ,,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
